Codering_3,Bevolkingsdichtheid_34,Laag_aandeel_15-24,Aandeel_65+,niet-westers,aandeel_niet-westers,Aandeel_1pers_hh,Thema_bevolking,Perc_eenoudergezinnen,Aandeel65<110%sm
BU02330001,1985.0,89.77,32.84,245,8.09,29.88,True,2.4,1.7
BU02330002,3447.0,89.4,28.03,275,9.4,29.44,True,7.4,7.3
BU02330003,4069.0,88.02,21.46,645,9.78,35.69,True,6.8,7.3
BU02330004,4415.0,87.49,19.14,645,10.69,32.37,True,6.2,5.6
BU02330005,375.0,98.46,44.62,40,12.31,35.71,True,,
BU02330101,4043.0,88.49,33.45,215,7.73,45.64,True,3.9,5.7
BU02330201,287.0,89.43,23.58,40,6.5,48.44,True,5.8,
BU02330202,456.0,82.44,13.74,35,5.34,39.29,True,6.0,
BU02330301,384.0,88.43,20.83,65,6.02,36.08,True,3.6,4.4
BU02330302,169.0,89.31,20.13,45,5.66,35.21,True,3.2,
BU02330303,1096.0,78.7,21.89,120,14.2,29.41,True,,
BU02330304,154.0,84.94,17.47,25,3.01,21.05,True,3.5,
BU02330401,5.0,90.48,21.43,10,4.76,26.67,True,,
BU02330402,51.0,100.0,50.0,0,0.0,,True,,
BU02330501,177.0,86.67,18.89,10,2.22,25.71,True,3.0,
BU02330502,6.0,88.89,22.22,0,0.0,0.0,True,,
BU02330503,35.0,80.0,15.0,10,10.0,14.29,True,,
BU02330504,102.0,82.35,23.53,0,0.0,33.33,True,,
BU02330505,8.0,100.0,50.0,0,0.0,50.0,True,,
BU02330506,16.0,80.0,26.67,5,6.67,33.33,True,,
