,WijkenEnBuurten,Bevolkingsdichtheid_34,Laag_aandeel_15-24,Aandeel_65+,aandeel_niet-westers,Aandeel_1pers_hh,Perc_eenoudergezinnen,Aandeel65<110%sm,totaalscore
0,Ermelo - Noord,0.5979210631464065,0.2711962281678397,0.6298806977269069,0.4725144917047982,-0.15731340682517128,-1.3851477863590276,-1.8968717273687363,-0.20968863425814058
1,Ermelo - Oost,1.5470639451442851,0.20873584570777232,0.17041358276384633,0.7865652193218889,-0.19619986693925826,1.6141879715050087,1.0267470817867475,0.7367876827557558
2,Ermelo - Zuid,1.9508716555428354,-0.024224499683838097,-0.4571745555536811,0.8776639036688311,0.3561646233176616,1.2542676805613242,1.0267470817867475,0.7120451270914115
3,Ermelo - West,2.175497809558749,-0.113694777261775,-0.6787886317936603,1.0958212793417719,0.06274860609318558,0.89434738961764,0.13921994329311826,0.5107359455498612
4,Veldwijk,-0.44730468241897287,1.738171156757028,1.7551452744971456,1.484189354715579,0.357932189686484,,,0.9776266586474529
5,Ermelo - Centrum,1.9339922335647608,0.055117067224898036,0.6881499160486255,0.3862104749550635,1.2355288918066787,-0.4853470589998167,0.1914274220280379,0.5721541352326068
6,Tonsel,-0.5044350337293787,0.2138002010423727,-0.2546651410585279,0.09133841772680275,1.4829881834417786,0.6544005289885169,,0.2805711927352607
7,Veldzicht,-0.3947187908718948,-0.9661945919194733,-1.1946144989039569,-0.18675230291123174,0.6743265697056477,0.7743739593030785,,-0.21559660926630517
8,Verspreide huizen Horst,-0.44146180558040865,0.04498835655569967,-0.5173542400498826,-0.023733604606177128,0.39063216750969343,-0.6653072044716588,-0.48726980152591365,-0.2427865903098068
9,Verspreide huizen Zuiderzeeland,-0.581041641168332,0.19354277970397116,-0.5842205561567728,-0.11003762135591182,0.3137430304659304,-0.9052540651007817,,-0.27887801226864944
10,s Heerenloo,0.020774673203783938,-1.5975508902996296,-0.41609953280230566,1.9372854426516866,-0.19885121649249157,,,-0.05088830474779127
11,Verspreide huizen Telgt,-0.5907797692326057,-0.5441649807027907,-0.8383125573629558,-0.7453310779859044,-0.9376939586601479,-0.7252939196289395,,-0.7302627105955574
12,Verspreide huizen bosgebied,-0.6875118413377247,0.3910526377533789,-0.46004025481540506,-0.325797663230249,-0.44100780902112524,,,-0.304660986130225
13,Drie,-0.6576482486072852,1.9981413972665054,2.26906067543296,-1.4669285513656316,,,,0.5356563181816372
14,Verspreide huizen Speuld,-0.575847972867386,-0.2521204897408457,-0.7026694589746926,-0.9347204480756002,-0.5258509947245882,-1.025227495415343,,-0.6694061432997426
15,Verspreide huizen heidegebied,-0.6868626328001064,0.1226418050195682,-0.3845768409233432,-1.4669285513656316,-2.798057561845455,,,-1.0427567563829936
16,Verspreide huizen De Beek,-0.6680355852091772,-1.378095492466955,-1.0742551299115544,0.9304052472381136,-1.5351313913220328,,,-0.7450224703343211
17,Verspreide huizen Houtdorp,-0.6245386131887546,-0.9813876579232744,-0.25944130649473407,-1.4669285513656316,0.14759179179664858,,,-0.6369408674351493
18,Verspreide huizen Staverden,-0.6855642157248699,1.9981413972665054,2.26906067543296,-1.4669285513656316,1.620858360209906,,,0.7471135331637739
19,Verspreide huizen Leuvenum,-0.6803705474239239,-1.378095492466955,0.04050188289903098,0.1320930923030664,0.14759179179664858,,,-0.3476558545784266
